"Študenti in dijaki štipendisti po: REGIJA ŠTIPENDITORJA, ŠTIPENDISTI,"
"VRSTA ŠTIPENDIJE, LETO , MERITVE"

" ";" ";" ";"2008";"2009";"2010";"2011"
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";440;273;147;-
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";341;212;884;139
" ";" ";"Kadrovske štipendije sofinancirane posredno";59;47;720;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;12;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";282;153;164;139
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";578;428;276;182
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
"Notranjsko-kraška"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";136;92;20;14
" ";" ";"Kadrovske štipendije sofinancirane posredno";83;64;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;4;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";53;24;20;14
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";-;-;-;-
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";87;71;42;35
" ";" ";"Kadrovske štipendije sofinancirane posredno";47;29;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;6;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";40;36;42;35
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";-;-;-;-
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
"Goriška"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";224;138;58;44
" ";" ";"Kadrovske štipendije sofinancirane posredno";85;19;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;45;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";139;74;58;44
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";201;132;65;1
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";6;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";312;321;124;95
" ";" ";"Kadrovske štipendije sofinancirane posredno";81;134;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;60;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";231;127;124;95
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";327;258;178;112
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";15;-;-;-
"Obalno-kraška"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";100;86;59;45
" ";" ";"Kadrovske štipendije sofinancirane posredno";21;21;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;-;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";79;65;59;45
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";157;103;67;1
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";133;145;96;89
" ";" ";"Kadrovske štipendije sofinancirane posredno";37;52;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;1;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";96;92;96;89
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";307;220;134;95
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-

"Med druge štipendije so zajete tudi štipendije sklada Ad futura, ki "
"vkljuèujejo tudi del šolnine, v letu 2010 pa tudi štipendije Erasmus."

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "

